'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'9/10/22 0:00','8/14/22 0:00','0329 1822 0344',25,M,B,116,400,IC,3
'12/31/23 0:00','12/31/23 0:00','1601 0400 0416 1300',44,F,B,122,400,IC,7
'2/3/21 0:00','11/16/20 0:00','0100 0930',23,M,C,501,400,IC,3
'12/2/22 0:00','12/1/22 0:00','1822 0922',38,F,H,501,400,IC,3
'9/6/23 0:00','7/25/23 0:00','1822 0344 1307 0358',54,M,O,410,400,IC,3
'12/2/22 0:00','11/25/22 0:00','0344 1300',36,M,H,101,400,IC,3
'3/26/22 0:00','3/26/22 0:00','0919 0400 0416 1300',50,M,O,101,400,IC,7
'2/9/20 0:00','2/8/20 0:00','0329 1300',31,F,H,122,400,IC,8
'5/8/23 0:00','5/2/23 0:00','0352 0378 0344',23,M,H,203,400,AA,4
'3/23/23 0:00','3/9/23 0:00','0334 0913 0603',11,M,H,502,200,AO,8
'1/31/23 0:00','1/11/23 0:00',344,36,M,H,101,400,IC,4
'7/14/22 0:00','7/13/22 0:00','2004 1218 0344 0352 1221 1822',45,F,W,108,400,IC,3
'9/22/21 0:00','9/22/21 0:00',344,48,M,H,501,400,IC,3
'2/12/23 0:00','2/12/23 0:00',2038,33,F,H,502,400,AO,10
'2/8/21 0:00','2/8/21 0:00','0401 1814 0913 2000 0417 0416 0400 1300',22,F,B,101,400,AO,7
'4/9/23 0:00','4/5/23 0:00','1822 0394',28,M,H,119,400,IC,4
'6/18/21 0:00','4/5/21 0:00','1822 0342 0337 0334 0432 0344',48,F,H,102,200,IC,2
'10/12/20 0:00','10/12/20 0:00','0416 0411 0913 0334 0445 0342',39,F,H,101,223,IC,2
'8/31/22 0:00','8/30/22 0:00','0329 1822',39,F,B,122,400,IC,8
'12/12/23 0:00','11/25/23 0:00','0913 0443 0361 0432',29,F,B,101,511,IC,10
'12/5/22 0:00','12/5/22 0:00','0334 0355 0344 1822',27,F,H,102,102,IC,2
'10/28/23 0:00','10/28/23 0:00','1822 1252 0337',41,M,H,102,113,AA,2
'5/4/23 0:00','5/2/23 0:00','0100 1822 0922',28,F,B,502,400,IC,3
'4/7/24 0:00','4/6/24 0:00','1822 0344 1601 0329 0321',28,F,H,108,400,IC,3
'11/16/20 0:00','11/15/20 0:00','2000 0400',25,F,H,501,400,AA,7
'7/30/21 0:00','7/30/21 0:00','0554 1501',32,M,W,501,400,IC,10
'3/28/22 0:00','2/7/22 0:00','1822 0344',56,M,W,502,400,IC,4
'9/22/21 0:00','9/22/21 0:00','2004 1606 0344 1822',36,M,H,210,400,AO,3
'7/5/23 0:00','7/4/23 0:00','2000 0913 0416 0448 1813 2033',50,F,B,101,400,IC,7
'8/27/23 0:00','8/26/23 0:00',344,36,M,H,101,400,IC,5
'7/15/24 0:00','7/14/24 0:00',344,36,M,H,101,400,IC,5
'8/27/23 0:00','8/27/23 0:00','1822 0305 0446 0416',44,M,H,102,400,IC,7
'3/14/21 0:00','3/12/21 0:00','0329 1300',26,M,W,101,400,IC,8
'7/1/22 0:00','6/30/22 0:00',344,36,M,H,108,400,IC,5
'3/30/23 0:00','3/29/23 0:00','0421 1822 0334 1402',70,F,H,108,311,AA,8
'4/17/22 0:00','4/16/22 0:00',344,36,M,H,101,400,AA,5
'1/12/23 0:00','12/31/22 0:00',344,36,M,H,101,400,IC,5
'7/27/22 0:00','7/27/22 0:00','0416 0445 0447 0411 1822',45,F,H,203,212,IC,2
'3/30/21 0:00','3/30/21 0:00',344,33,M,H,102,400,IC,4
'7/23/22 0:00','7/23/22 0:00','1822 0344',36,M,H,248,400,IC,4
'7/15/23 0:00','7/15/23 0:00',329,64,F,W,501,400,AO,8
'9/3/20 0:00','9/3/20 0:00','1822 0342 0450 1300 0371 0334 0216 0329 0906',27,M,H,102,102,IC,8
'2/11/20 0:00','2/3/20 0:00','0344 0400',29,F,B,108,500,IC,3
'10/31/22 0:00','10/31/22 0:00','0422 1402 1822',48,F,H,501,511,IC,10
'2/15/23 0:00','2/15/23 0:00','2000 0913 0448 0400 1814 1218',37,F,H,101,400,AO,7
'5/31/23 0:00','5/31/23 0:00','0603 0432 0421 1309 0361',35,F,H,502,511,IC,10
'3/3/22 0:00','3/3/22 0:00','2000 1814 0913 0431 1402',19,M,B,101,512,AO,2
'2/3/23 0:00','2/2/23 0:00','0344 1300',55,M,H,108,400,IC,3
'3/15/22 0:00','3/15/22 0:00','0400 0561 0602 0913 1202 0416 0447',61,F,F,501,500,AA,2
'5/22/21 0:00','5/22/21 0:00','1822 1906',24,M,H,501,400,IC,10
'3/27/21 0:00','3/27/21 0:00','2000 1814 0913 0319 0334 0344 0417 0419 0429 1816',25,F,B,101,400,AO,2
'7/19/22 0:00','7/19/22 0:00','1822 0400 0329 1300',25,F,B,102,400,AO,8
'9/15/22 0:00','9/15/22 0:00','0913 0450 0400 0416 0446 1100',21,F,B,502,102,AO,2
'4/14/22 0:00','4/11/22 0:00',329,34,M,H,104,400,IC,8
'12/29/23 0:00','12/27/23 0:00',329,44,F,W,203,400,IC,8
'7/11/24 0:00','7/11/24 0:00','1822 2052 0910',36,M,H,122,400,IC,10
'10/21/23 0:00','10/21/23 0:00','0344 1300 1609',28,M,H,101,400,IC,3
'2/10/22 0:00','2/9/22 0:00','1822 1202 0344 0385',76,M,W,101,400,IC,3
'9/15/22 0:00','9/15/22 0:00',344,36,M,H,101,400,IC,5
'4/2/24 0:00','4/2/24 0:00','0603 0361 0913 2002 0319 0447 0416 0445',42,M,H,108,221,AO,7
'8/26/21 0:00','8/25/21 0:00','0400 0554',26,M,H,502,400,AO,7
'3/23/22 0:00','3/20/22 0:00','0344 1822',26,M,W,735,400,IC,3
'2/5/20 0:00','1/31/20 0:00',344,36,M,H,108,400,IC,4
'3/26/22 0:00','3/26/22 0:00','0356 2004',38,M,O,102,400,IC,7
'9/16/20 0:00','9/16/20 0:00','1822 0400 0411 2033 0445',29,M,H,103,500,IC,2
'5/15/23 0:00','5/14/23 0:00','0385 1236 1300',36,M,O,707,400,IC,4
'10/23/21 0:00','10/23/21 0:00','2038 2000 1814',43,M,B,502,400,AA,10
'6/30/22 0:00','6/28/22 0:00','1300 0385 0344',30,M,H,101,400,IC,4
'1/20/23 0:00','1/20/23 0:00','0344 0416 1218 2004',70,M,H,108,400,IC,2
'8/6/23 0:00','8/5/23 0:00','1822 0344',35,M,W,109,400,IC,3
'5/6/22 0:00','5/5/22 0:00','1234 0305 0444 0429 0400 0344 1822',36,M,W,102,400,IC,2
'3/19/22 0:00','3/19/22 0:00','2004 0325 0601',36,M,H,404,400,IC,4
'7/23/23 0:00','7/23/23 0:00','0913 0400 1810',33,F,W,501,400,IC,7
'11/1/23 0:00','11/1/23 0:00','0913 1607 0558',40,F,H,501,400,AA,3
'10/13/22 0:00','10/3/22 0:00','0400 0522 2024 1258 0500 0913 1824 1815 1251',13,F,W,720,400,JO,9
'2/26/24 0:00','2/23/24 0:00','0325 0209',36,M,H,403,400,IC,4
'2/28/24 0:00','2/27/24 0:00','1822 0344 0416',36,M,H,402,400,AA,2
'2/4/22 0:00','1/29/22 0:00','0344 1822 1501 1300',51,M,W,501,400,IC,3
'2/3/23 0:00','2/1/23 0:00','0321 1822 1300',80,M,W,104,400,IC,10
'2/2/23 0:00','2/2/23 0:00','1609 0325 1402',36,M,H,203,311,IC,3
'9/25/23 0:00','9/24/23 0:00',344,36,M,H,108,400,IC,5
'1/20/20 0:00','1/16/20 0:00',344,53,M,W,101,400,IC,3
'3/2/20 0:00','3/2/20 0:00','1300 1822 2004 1414 1310',35,M,W,101,306,IC,7
'1/5/23 0:00','1/5/23 0:00','0416 0919',27,M,H,108,400,IC,7
'5/24/23 0:00','5/24/23 0:00','0913 0334 0421 0432 0603 0361',20,F,H,102,204,AA,8
'2/19/23 0:00','5/2/22 0:00','0416 0432 0913 1814 2000',39,F,H,502,400,IC,7
'1/21/20 0:00','1/21/20 0:00','0913 0302 0443 1259 2000 1251 1814',15,F,H,101,109,IC,2
'12/7/22 0:00','12/7/22 0:00','0430 1822 0906 1100',31,M,H,502,106,IC,2
'1/22/20 0:00','1/22/20 0:00','0913 1814 0329',51,F,O,501,400,IC,8
'1/30/23 0:00','1/29/23 0:00','1100 1407 0906 1822',51,M,H,501,106,IC,2
'4/20/22 0:00','4/20/22 0:00','0400 0421 0334 1822 1501 0903 2055 1516',36,M,H,102,509,IC,10
'10/16/21 0:00','10/16/21 0:00','1822 0400 1501',36,F,B,102,400,IC,7
'7/2/24 0:00','7/2/24 0:00','1822 0325',36,M,W,405,400,IC,4
'2/13/24 0:00','2/4/24 0:00','1822 0344',55,F,O,212,500,IC,3
'9/1/21 0:00','8/31/21 0:00','1822 0344 1420',52,M,O,118,400,IC,5
'1/1/24 0:00','1/1/24 0:00','1822 2038',70,M,A,501,400,IC,10
'7/24/24 0:00','7/23/24 0:00','0344 0385 1822',49,F,H,501,400,IC,3
'1/18/24 0:00','1/18/24 0:00','0416 0446',43,M,H,505,400,IC,7
'4/3/23 0:00','4/2/23 0:00','0344 1420',36,M,H,404,400,IC,3
'7/25/24 0:00','7/21/24 0:00',344,36,M,H,407,400,IC,4
'10/9/23 0:00','10/9/23 0:00','0325 0344 1822',23,F,B,405,400,IC,4
'3/9/24 0:00','3/8/24 0:00','1609 1302',33,F,B,101,400,IC,5
'6/22/20 0:00','6/22/20 0:00','0329 0913',36,M,H,519,400,IC,8
'4/11/23 0:00','4/11/23 0:00','1822 0302 2060',27,M,H,158,102,IC,2
'9/8/21 0:00','9/7/21 0:00',344,36,M,H,101,400,IC,5
'4/11/22 0:00','4/5/22 0:00',443,46,M,H,501,511,AO,10
