'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'9/20/22 0:00','9/9/22 0:00','1607 0344',28,M,H,501,400,IC,3
'5/12/23 0:00','5/12/23 0:00',344,36,M,H,101,400,IC,5
'3/11/24 0:00','3/6/24 0:00','0344 2032',19,F,B,119,400,IC,4
'11/17/21 0:00','11/16/21 0:00','1822 0344',29,M,W,501,400,IC,3
'2/25/24 0:00','2/25/24 0:00','0913 2024 0416 0446',59,M,H,501,400,JA,7
'2/9/21 0:00','2/9/21 0:00','1822 0342 0416 0446 0417 0429 2033',36,M,H,101,400,JA,7
'12/2/23 0:00','12/1/23 0:00','1307 1609 0344 0329',29,F,O,108,400,IC,3
'1/20/23 0:00','1/20/23 0:00','2000 0913 0447 0416 0448 1814',21,F,B,101,400,AO,2
'10/13/22 0:00','10/12/22 0:00',344,36,M,H,101,400,IC,5
'1/16/23 0:00','12/15/22 0:00','1822 0344',64,M,A,502,400,IC,3
'4/18/23 0:00','4/17/23 0:00','0344 1822',53,F,B,707,400,IC,3
'8/4/21 0:00','7/7/21 0:00',100,28,F,H,605,400,IC,3
'3/12/22 0:00','3/12/22 0:00','0342 0334 0337 0216 0209 1309',36,M,H,203,102,IC,2
'8/6/23 0:00','7/29/23 0:00','0325 0352 1822 0344',36,M,W,406,400,IC,4
'8/31/22 0:00','2/7/22 0:00','1822 0929 0930',43,M,O,501,400,IC,3
'12/13/22 0:00','12/13/22 0:00','1309 2004 0918',36,M,H,101,307,AA,10
'9/28/20 0:00','9/28/20 0:00','1822 0416 0302 0344 0355 1309 0312 1310',26,M,H,108,102,IC,2
'2/28/23 0:00','2/28/23 0:00',344,36,M,H,101,400,IC,5
'9/2/21 0:00','9/2/21 0:00',344,36,M,H,101,400,IC,5
'8/29/22 0:00','8/29/22 0:00','1822 1501',36,M,H,502,400,IC,10
'10/22/23 0:00','10/21/23 0:00',344,36,M,H,101,400,IC,4
'5/30/23 0:00','5/30/23 0:00','2038 2004',52,F,O,501,400,IC,10
'4/26/23 0:00','4/24/23 0:00','0344 1822 1606',34,M,W,108,400,IC,3
'9/9/23 0:00','9/9/23 0:00','0329 1822',29,M,H,122,400,IC,8
'3/4/24 0:00','3/3/24 0:00','0358 0375 1822 0344 1609',36,M,O,203,400,IC,3
'2/28/22 0:00','2/17/22 0:00','0100 0930 1822',41,F,O,501,400,IC,3
'1/20/20 0:00','1/20/20 0:00','2038 0913',38,M,H,502,400,IC,10
'8/10/23 0:00','8/10/23 0:00',1202,63,F,W,710,400,IC,10
'4/11/23 0:00','4/10/23 0:00','1822 1100',36,M,H,123,106,IC,8
'10/5/23 0:00','9/12/23 0:00','0100 0929',26,M,W,501,400,IC,3
'6/6/22 0:00','6/6/22 0:00','2004 1402',65,M,B,108,500,IC,8
'12/26/21 0:00','12/25/21 0:00','1402 2004 0355 1822 0917 1266 1026 0443',21,M,H,102,207,AA,2
'6/24/20 0:00','6/24/20 0:00','1822 0209 0344 0390 0400 0444 0429 0448 0853',28,F,W,102,400,IC,2
'9/23/20 0:00','9/23/20 0:00',344,32,M,O,203,400,IC,4
'2/1/22 0:00','2/1/22 0:00','0100 0922 1822',41,F,B,502,400,IC,3
'6/23/23 0:00','6/22/23 0:00',385,65,M,H,101,400,IC,3
'10/21/20 0:00','10/20/20 0:00','0344 1300',37,F,H,101,400,IC,3
'7/10/22 0:00','7/9/22 0:00','0913 1906 1912 0319 2038',58,M,B,501,511,AO,10
'10/30/21 0:00','6/17/21 0:00','0930 1822',49,F,A,501,400,IC,3
'3/24/20 0:00','3/24/20 0:00','1822 0344 0314 1202',88,M,H,501,400,IC,3
'7/17/20 0:00','7/17/20 0:00','1606 2004 0340 0314 0359 1822 0910 1318 2051 1402',22,F,W,501,400,AA,3
'2/10/21 0:00','2/9/21 0:00',344,36,M,H,101,400,IC,5
'5/8/20 0:00','5/8/20 0:00',344,31,F,O,101,400,IC,3
'8/3/22 0:00','7/31/22 0:00','2000 0913 1309 0319 0443 0416 1814',36,F,B,101,400,IC,7
'12/29/22 0:00','12/15/22 0:00','1822 0416 0446 1202',64,M,W,101,400,IC,2
'9/11/23 0:00','9/11/23 0:00','0421 0319 1822 2053 1528 0903 0202 0359',26,M,O,501,511,IC,10
'4/23/24 0:00','4/22/24 0:00',344,36,M,H,101,400,IC,5
'9/21/23 0:00','9/15/23 0:00','1822 0930',23,F,W,501,400,IC,3
'4/10/22 0:00','4/10/22 0:00','0371 1822 1300 0400 1309 1310 1312 0334 0421 0202',32,M,H,101,307,IC,2
'6/29/20 0:00','6/27/20 0:00',344,36,M,H,101,400,IC,5
'5/21/23 0:00','5/21/23 0:00',448,54,F,W,102,400,AO,7
'1/26/22 0:00','1/26/22 0:00','1259 0531',17,F,H,102,511,JA,9
'8/9/22 0:00','8/9/22 0:00','1309 0913 2000 1814 0448 0419 0408',34,F,B,501,400,IC,7
'2/12/23 0:00','2/12/23 0:00','2004 0400 0416',28,M,H,108,200,IC,2
