'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'11/2/23 0:00','11/2/23 0:00','0100 0922',28,F,W,501,400,IC,3
'8/20/24 0:00','8/20/24 0:00',344,36,M,H,101,400,IC,4
'2/18/21 0:00','2/18/21 0:00','0403 1822',39,M,H,212,500,IC,8
'8/24/24 0:00','8/23/24 0:00','1822 1300 0321 0344 1501',35,M,H,502,400,IC,3
'9/30/22 0:00','9/25/22 0:00','0344 1822 2028 1414 0325',24,M,H,405,400,IC,4
'9/15/20 0:00','9/15/20 0:00','0432 0355 1309 0326 1313 0377 1822 0906',25,F,H,102,101,IC,2
'8/29/24 0:00','8/16/24 0:00',344,36,M,H,203,400,IC,4
'2/14/22 0:00','2/10/22 0:00','0329 0344 0385 1822',21,M,H,103,400,IC,3
'12/16/22 0:00','12/16/22 0:00','0443 1202 1822',64,M,B,402,511,IC,10
'5/16/20 0:00','5/16/20 0:00',344,21,M,W,101,400,IC,3
'4/30/21 0:00','4/27/21 0:00','0930 1822',29,F,W,501,400,IC,3
'12/13/23 0:00','12/11/23 0:00',344,36,M,H,101,400,IC,5
'8/12/23 0:00','8/12/23 0:00','2004 0334 0416 0913 1266',49,M,W,502,304,AA,2
'4/29/20 0:00','4/20/20 0:00',329,25,M,O,108,400,IC,8
'10/21/22 0:00','10/21/22 0:00',344,62,F,B,710,400,IC,3
'2/9/22 0:00','2/6/22 0:00','0100 1822 0922 0930',28,M,B,501,400,IC,3
'8/9/23 0:00','8/9/23 0:00','0344 1822 1609 0206 1402',36,M,O,210,302,AO,3
'1/17/24 0:00','1/12/24 0:00','1300 0344',24,M,H,101,400,IC,3
'4/3/21 0:00','4/3/21 0:00',1501,15,M,B,501,400,IC,4
'4/20/23 0:00','4/19/23 0:00','0104 0325 0202 2021',22,M,H,403,400,IC,4
'5/9/22 0:00','5/6/22 0:00',344,35,M,A,707,400,IC,5
'3/25/24 0:00','3/25/24 0:00','0325 1822',21,M,F,727,400,IC,4
'6/11/23 0:00','6/11/23 0:00','2004 0910 0443 0334 0432 1822 0216 0378',66,M,B,801,205,AA,2
'7/15/20 0:00','7/15/20 0:00','1402 0514 1501',49,M,W,502,400,IC,9
'10/11/20 0:00','10/9/20 0:00','0100 0930 1822',38,M,H,501,400,IC,3
'11/9/22 0:00','10/31/22 0:00','1202 1307 0344 0346 1822',71,F,B,108,400,IC,3
'12/12/22 0:00','12/7/22 0:00','1822 0329',54,M,K,203,400,IC,8
'2/6/24 0:00','2/5/24 0:00','0397 1609 1822 0344 1602 0321 0339 1402',36,M,H,118,400,IC,3
'12/13/21 0:00','12/11/21 0:00',344,36,M,H,108,400,IC,5
'5/9/23 0:00','3/25/23 0:00','0929 0930',24,F,B,502,400,IC,3
'2/4/21 0:00','2/2/21 0:00',1822,38,F,W,101,400,AA,3
'2/8/22 0:00','2/8/22 0:00','0400 0416 2000 1814 0913 0329 0429 0408 0448 0358',22,F,B,501,400,IC,7
'12/5/22 0:00','12/4/22 0:00','1822 0344 1300 0385 1202',68,M,H,108,400,IC,3
'2/18/24 0:00','2/16/24 0:00','0344 2032',55,F,B,502,400,IC,4
'10/7/20 0:00','10/6/20 0:00',344,36,M,H,101,400,IC,4
'10/9/21 0:00','10/9/21 0:00',325,36,M,H,205,400,IC,4
'4/5/21 0:00','4/2/21 0:00','0913 1402 2004 1501',20,F,A,502,506,IC,7
'10/7/22 0:00','9/18/22 0:00','0344 1822 1606 0377 0354 1251',25,M,A,101,400,IC,3
'7/10/20 0:00','7/10/20 0:00','0416 0417 0429 0432 1309 2033 1822',48,M,B,210,400,IC,7
'4/9/23 0:00','4/9/23 0:00','0908 1822 0342 0344',45,M,H,505,102,IC,2
'4/22/20 0:00','4/22/20 0:00',344,36,M,H,101,400,IC,5
'1/17/23 0:00','1/16/23 0:00','1822 0449',59,M,O,108,200,IC,2
'12/3/23 0:00','12/3/23 0:00','2032 0344',39,F,A,203,400,IC,3
'1/12/23 0:00','12/26/22 0:00','0922 0930 0377',27,M,H,501,400,IC,3
'4/28/23 0:00','4/27/23 0:00',344,39,F,W,101,400,IC,3
'4/22/22 0:00','4/12/22 0:00',344,36,M,H,101,400,IC,5
'11/30/20 0:00','11/30/20 0:00','0321 0342 0344 0363 0416',23,M,B,501,400,AA,2
'7/13/23 0:00','6/13/23 0:00','1606 1300 0344',53,M,W,108,400,IC,3
'7/4/20 0:00','7/3/20 0:00','0344 0358',32,M,H,501,500,IC,3
'8/17/23 0:00','8/16/23 0:00',344,36,M,H,101,400,IC,5
'7/6/24 0:00','7/3/24 0:00',930,34,M,W,501,400,IC,3
'8/21/23 0:00','8/17/23 0:00',344,36,M,H,101,400,IC,4
'10/5/20 0:00','9/8/20 0:00','0100 1822 0926',36,M,H,203,400,IC,7
'1/1/23 0:00','1/1/23 0:00','0334 0913 0400 0416 0411',27,M,H,504,200,IC,2
'11/29/21 0:00','11/29/21 0:00',329,67,F,H,101,400,IC,8
'10/16/21 0:00','10/14/21 0:00','1202 0329 1601 0321',74,M,O,501,400,IC,3
'8/16/20 0:00','8/16/20 0:00',1300,24,F,H,101,305,IC,7
'11/27/20 0:00','11/27/20 0:00','1822 1218 1202 0416 0417',62,M,W,203,400,AO,7
'8/12/23 0:00','8/11/23 0:00',344,36,M,H,101,400,IC,4
'5/14/22 0:00','5/14/22 0:00','0361 0913 2038 1300',50,F,B,101,400,AO,10
'8/7/23 0:00','8/7/23 0:00','1822 0601 0216 0329 2004 1026',36,M,H,210,400,IC,8
'2/15/23 0:00','2/15/23 0:00','0411 1402 2004 0400 1822 0918',61,M,W,502,221,AA,2
'7/30/21 0:00','7/6/21 0:00','1202 1822 0100',64,F,H,501,400,IC,3
'11/12/22 0:00','11/12/22 0:00',344,36,M,H,404,400,IC,4
'9/11/23 0:00','9/11/23 0:00',344,36,M,H,203,400,IC,4
'6/13/20 0:00','6/12/20 0:00','1210 0344 1822 0394',35,M,H,502,400,IC,4
'5/16/23 0:00','5/16/23 0:00','0216 0344 1822',33,M,O,108,400,IC,4
'7/28/21 0:00','7/28/21 0:00','1601 0416 0561 0419 0913 0446',68,F,W,501,400,AO,7
'5/31/20 0:00','5/30/20 0:00','1822 1607 1214 0329',36,M,H,101,400,IC,8
'6/11/23 0:00','6/9/23 0:00',344,36,M,H,101,400,IC,4
'4/11/23 0:00','4/10/23 0:00',344,63,F,B,121,400,IC,3
'7/21/20 0:00','7/21/20 0:00','1822 0421',35,F,O,501,511,IC,10
'1/26/21 0:00','1/26/21 0:00','0329 1300 1100 0430 1822 1407 1402 1218',44,M,H,102,104,AO,2
'12/17/21 0:00','12/17/21 0:00','1822 0344 1420',43,M,W,501,400,IC,5
'12/24/21 0:00','12/23/21 0:00',344,36,M,H,101,400,IC,5
'11/21/20 0:00','11/21/20 0:00','0913 0356 2000 1814',29,F,H,502,500,AO,7
'8/18/22 0:00','8/17/22 0:00',329,38,M,W,502,400,IC,8
'12/16/20 0:00','12/15/20 0:00','0344 1307 1302',44,F,W,108,400,IC,3
'1/12/22 0:00','1/1/22 0:00','0344 0913',23,F,H,203,400,IC,4
'2/1/23 0:00','2/1/23 0:00',930,54,M,H,502,400,IC,3
'10/16/20 0:00','10/16/20 0:00','2055 1514 1822 0329 0903',39,M,B,122,400,IC,8
'5/27/23 0:00','5/27/23 0:00','0329 1822',32,F,W,501,400,IC,8
'10/17/20 0:00','10/16/20 0:00','0329 1609 1402',36,M,O,203,400,IC,8
'4/3/20 0:00','4/3/20 0:00','0329 1609',23,F,H,101,400,IC,8
'4/5/24 0:00','4/5/24 0:00','0416 0446 0104',23,F,H,203,400,IC,7
'7/20/22 0:00','7/20/22 0:00','0344 1822 1501',36,M,W,504,400,IC,3
'2/18/20 0:00','2/18/20 0:00','0216 0309 0342 1309 1822 1313 0450 0906',22,M,B,402,102,IC,2
'8/24/23 0:00','8/23/23 0:00','1822 0329',58,M,W,501,400,IC,8
'5/1/20 0:00','5/1/20 0:00','0913 1202 1414 0416 2004 1218',62,M,B,101,308,IC,7
'4/22/23 0:00','4/22/23 0:00','0325 2028',36,M,H,404,400,IC,4
'11/30/22 0:00','11/27/22 0:00',344,36,M,H,101,400,IC,5
'1/5/23 0:00','1/4/23 0:00',344,36,M,H,101,400,IC,5
